name,address,phone,principal,grades,division
Adult & Career Education Center,"141 Goode Street, Danville, VA 24541",434-799-6471, ,,Danville Public Schools
Adult Education Center,"201 East Nine Mile Road, Highland Springs, VA 23075",804-328-4095, ,,Henrico County Public Schools
Adult Learning Ctr.,"4160 Virginia Beach Blvd, Virginia Beach, VA 23452-1768",757-648-6050, ,,Virginia Beach Public Schools
Advanced Technology Center,"1800 College Crescent, Virginia Beach, VA 23453",757-648-5800,Mr. Michael D. Taylor,,Virginia Beach Public Schools
Agnor-Hurt Elementary,"3201 Berkmar Drive, Charlottesville, VA 22901-1475",434-973-5211,Mrs. Michele Del Gallo Castner,PK-5,Albemarle County Public Schools
Alanton Elementary,"1441 Stephens Rd, Virginia Beach, VA 23454",757-648-2000,Sean Walker,PK-5,Virginia Beach Public Schools
Albemarle County Community Public Charter School,"901 Rose Hill Drive, Charlottesville, VA 22903",434-972-1607,Ms. E. Ashby Kindler,6-8,Albemarle County Public Schools
Albemarle High,"2775 Hydraulic Road, Charlottesville, VA 22901-8917",434-975-9300,Jay Thomas,9-12,Albemarle County Public Schools
Albert Harris Elementary School,"710 Smith Road, Martinsville, VA 24112",276-403-5838,Mrs. Felicia Preston,KG-5,Martinsville Public Schools
Albert Hill Middle,"3400 Patterson Ave, Richmond, VA 23221-2399",804-780-6107,Mrs. Raquel Jones,6-8,Richmond Public Schools
Alberta Smith Elementary,"13200 Bailey Bridge Rd, Midlothian, VA 23112-1708",804-739-6295,Elizabeth Stefanko,PK-5,Chesterfield County Public Schools
ALC at Bryant,"2709 Popkins Ln, Alexandria, VA 22306",703-660-2101,Mr. Larry Johnson,,Fairfax County Public Schools
ALC at Burke,"9645 Burke Lake Road, Burke, VA 20115",703-426-7300,Mrs. Jill Jakulski,,Fairfax County Public Schools
ALC at Cameron,"3434 Campbell Dr, Alexandria, VA 22303",703-329-2100,Ms. Sue Howell,,Fairfax County Public Schools
ALC at Montrose,"6525 Montrose St, Alexandria, VA 22312",703-426-7340,Ms. Sue Howell,,Fairfax County Public Schools
ALC at Mountain View,"5775 Spindle Ct, Centreville, VA 20121",571-522-6840,Ms. Zora Marschall,,Fairfax County Public Schools
Aldie Elementary,"23269 Meetinghouse Ln, Aldie, VA 20105",703-957-4380,Shawn Lyons,PK-5,Loudoun County Public Schools
Aldrin Elementary,"11375 Center Harbor Rd, Reston, VA 20194-2061",703-904-3800,Mr. Shane Wolfe,PK-6,Fairfax County Public Schools
Alfred S. Forrest Elementary,"1406 Todds Ln, Hampton, VA 23666",757-825-4627,Ms. Tracie W. Albea,KG-5,Hampton Public Schools
Algonkian Elementary,"20196 Carter Court, Sterling, VA 20165",571-434-3240,Jennifer Steeprow,PK-5,Loudoun County Public Schools
Alleghany High,"210 Mountaineer Drive, Covington, VA 24426",540-863-1700,Mr. Fred C. Vaughan Jr.,9-12,Alleghany County Public Schools
Altavista Elementary,"1003 Lynch Mill Rd, Altavista, VA 24517-1028",434-369-5665,Mrs. Amy Abell,PK-5,Campbell County Public Schools
Altavista High,"904 Bedford Avenue, Altavista, VA 24517",434-369-4768,Mr. Ty Gafford,6-12,Campbell County Public Schools
Alternative Education Center,"4484 Catlett Road, Midland, VA 22728",540-422-7390,Shelly Neibauer,,Fauquier County Public Schools
Alternative Education Center,"10415 Spotswood Trail, Stanardsville, VA 22973",434-985-1405, ,,Greene County Public Schools
Alternative Education Center,"175 Mayfield Drive, Boydton, VA 23917",434-738-6111,Mrs. Sandra Wingler-Jones,,Mecklenburg County Public Schools
Amelia County Elementary,"8533 N Five Forks Rd, Amelia Court House, VA 23002",804-561-2433,John Rokenbrod,PK-4,Amelia County Public Schools
Amelia County High,"8500 Otterburn Rd, Amelia Court House, VA 23002",804-561-2101,Mr. Tommy Moon,9-12,Amelia County Public Schools
Amelia County Middle,"8740 Otterburn Road, Amelia, VA 23002",804-561-4422,Mr. Wes Eary,5-8,Amelia County Public Schools
Amelia Street Special Education,"1821 Amelia St, Richmond, VA 23220-6696",804-780-6275,Ms. Evelyn B. Waddell,PK-12,Richmond Public Schools
Amelon Elementary,"132 Amer Court, Madison Heights, VA 24572",434-528-6498,Mrs. Donna D Lewis,PK-5,Amherst County Public Schools
Amherst County High,"139 Lancer Lane, Amherst, VA 24521",434-946-2898,Mr. Haywood Hand,9-12,Amherst County Public Schools
Amherst Elementary,"156 Davis St, Amherst, VA 24521",434-946-9704,Julie Steele,PK-5,Amherst County Public Schools
Amherst Middle,"165 Gordons Fairground Rd, Amherst, VA 24521",434-946-0691,Ms. Christie L. Cundiff,6-8,Amherst County Public Schools
Andrew G. Wright Middle,"100 Wood Dr, Stafford, VA 22556",540-658-6240,Mr. William R. Boatwright,6-8,Stafford County Public Schools
Andrew Lewis Middle,"616 South College Ave, Salem, VA 24153-5090",540-387-2513,Dr. Forest Jones,6-8,Salem Public Schools
Annandale High,"4700 Medford Dr, Annandale, VA 22003",703-642-4100,Mr. Vincent Randazzo,9-12,Fairfax County Public Schools
Annandale Terrace Elementary,"7604 Herald St, Annandale, VA 22003",703-658-5600,Ms. Andrea Garris,PK-5,Fairfax County Public Schools
Anne E. Moncure Elementary,"75 Moncure Lane, Stafford, VA 22556",540-658-6300,Mr. Gregory R. Machi,PK-5,Stafford County Public Schools
Anthony Burns Elementary,"60 Gallery Road, Stafford, VA 22554",540-658-6000,Ms. Nancy Coll,KG-5,Stafford County Public Schools
Anthony P. Mehfoud Elementary,"8320 Buffin Rd, Richmond, VA 23231",804-795-7020,Ms. Stacie S. Carlisle,PK-2,Henrico County Public Schools
Antietam Elementary,"12000 Antietam Rd, Woodbridge, VA 22192",703-497-7619,Ms. Latiesa Green,PK-5,Prince William County Public Schools
Appalachia Elementary,"3965 Kent Junction Road, Appalachia, VA 24216",276-565-1115,Matthew Dysart,PK-8,Wise County Public Schools
Apple Pie Ridge Elementary,"349 Apple Pie Ridge Rd, Winchester, VA 22603",540-662-4781,Mr. Justin Raymond,KG-5,Frederick County Public Schools
Appomattox County High,"198 Evergreen Ave., Appomattox, VA 24522",434-352-7146,Mrs. Martha J. Eagle,9-12,Appomattox County Public Schools
Appomattox Elementary,"198 Evergreen Ave., Appomattox, VA 24522",434-352-7463,Mrs. Karen Cyrus,3-5,Appomattox County Public Schools
Appomattox Middle,"2020 Church St, Appomattox, VA 24522",434-352-8257,Mr. Todd R Reichert,6-8,Appomattox County Public Schools
Appomattox Primary,"185 Learning Lane, Appomattox, VA 24522",434-352-5766,Mrs. Heather Mullins,PK-2,Appomattox County Public Schools
Arcadia High,"8210 Lankford Highway, Oak Hall, VA 23416",757-824-5613,Rose Taylor,9-12,Accomack County Public Schools
Arcadia Middle,"29485 Horsey Rd., Oak Hall, VA 23416",757-824-4862,Mr. Brian Tupper,6-8,Accomack County Public Schools
Archer Elementary,"324 Nutley St NW, Vienna, VA 22180",703-937-6200,Ms. Michelle Makrigiorgos,PK-6,Fairfax County Public Schools
Arcola Elementary,"41740 Tall Cedars Parkway, Aldie, VA 20105",703-957-4390,Dr. Clark Bowers,PK-5,Loudoun County Public Schools
Arlington Mill High,"816 S. Walter Reed Dr, Suite 222, Arlington, VA 22203",703-228-5295,Ms. Barbara Thompson,9-12,Arlington County Public Schools
Arlington Science Focus School,"1501 N. Lincoln Street, Arlington, VA 22201",703-228-7670,Ms. Mary E. Begley,PK-5,Arlington County Public Schools
Arlington Traditional,"855 N. Edison St, Arlington, VA 22205",703-228-6290,Ms. Holly Hawthorne,PK-5,Arlington County Public Schools
Armel Elementary,"2239 Front Royal Pike, Winchester, VA 22602",540-869-1657,Raegan Rangel,KG-5,Frederick County Public Schools
Armstrong Elementary,"11900 Lake Newport Rd, Reston, VA 20194-1500",703-375-4800,Mr. James Quinn,PK-6,Fairfax County Public Schools
Armstrong Elementary,"3401 Matoaka Rd, Hampton, VA 23661",757-727-1067,Ms. Levia M. Stovall,KG-5,Hampton Public Schools
Armstrong High,"2300 Cool Lane, Richmond, VA 23223-4196",804-780-4449,Mrs. April Hawkins,9-12,Richmond Public Schools
Arrowhead Elementary,"5549 Susquehanna Dr, Virginia Beach, VA 23462-4034",757-648-2040,Constance James,PK-5,Virginia Beach Public Schools
Arthur Ashe Jr. Elementary,"1001 Cedar Fork Road, Richmond, VA 23223",804-343-6550,Ms. Kecia O. Lipscomb,PK-5,Henrico County Public Schools
Arthur R. Ware Elementary,"330 Grubert Avenue, Staunton, VA 24401",540-332-3938,Mrs. Sharon Barker,KG-5,Staunton Public Schools
Ashburn Elementary,"44062 Fincastle Dr, Ashburn, VA 20147",571-252-2350,Michelle Walthour,PK-5,Loudoun County Public Schools
Ashby Lee Elementary,"480 Stonewall Lane, Quicksburg, VA 22847-1422",540-477-2927,Steve Povlish,PK-5,Shenandoah County Public Schools
Ashland Elementary,"15300 Bowmans Folly Dr., Manassas, VA 20112",703-583-8774,Mr. Andrew Jacks,PK-5,Prince William County Public Schools
Ashlawn Elementary,"5950 N. 8th Road, Arlington, VA 22205",703-228-5270,Ms. Judy Apostolico-Buck,PK-5,Arlington County Public Schools
Atkins Elementary,"5903 Lee Hwy, Atkins, VA 24311",276-783-3366,Mr. Gary L. Roberts,PK-5,Smyth County Public Schools
Atlee High,"9414 Atlee Station Road, Mechanicsville, VA 23116",804-723-2100,Ms. Jennifer Cohodas,9-12,Hanover County Public Schools
Auburn Elementary,"1760 AUBURN SCHOOL DR., Riner, VA 24149",540-381-6521,Ms. Marcia Settle,PK-5,Montgomery County Public Schools
Auburn High,"1650 AUBURN SCHOOL DR, Riner, VA 24149",540-382-5160,Mr. Carl R. Pauli,9-12,Montgomery County Public Schools
Auburn Middle,"7270 Riley Rd., Warrenton, VA 20187",540-428-3750,Mr. Steve Kadilak,6-8,Fauquier County Public Schools
Auburn Middle,"4069 Riner Rd, Riner, VA 24149",540-382-5165,Mrs. Guylene Wood-Setzer,6-8,Montgomery County Public Schools
Axton Elementary,"1500 Axton School Road, Axton, VA 24054",276-650-1193,Mrs. Jo Ellen Hylton,PK-5,Henry County Public Schools
Azalea Gardens Middle,"7721 Azalea Garden Rd, Norfolk, VA 23518",757-531-3000,Dr. Reuthenia Clark,6-8,Norfolk Public Schools
B.C. Charles Elementary,"701 Menchville Road, Newport News, VA 23602",757-886-7750,Mr. Clyde (Reggie) Alston,PK-5,Newport News Public Schools
B.M. Williams Primary,"1100 Battlefield Blvd N, Chesapeake, VA 23320",757-547-0238,Mr. Thomas P. Moyer,PK-2,Chesapeake Public Schools
B.T. Washington Middle,"3700 Chestnut Ave, Newport News, VA 23607",757-928-6860,Ms. Deborah L. Fields,6-8,Newport News Public Schools
Back Creek Elementary,"7130 Bent Mountain Rd, Roanoke, VA 24018",540-772-7565,Ms. Virginia Sharp,PK-5,Roanoke County Public Schools
Bacon District Elementary,"840 Bacon School Rd, Saxe, VA 23967",434-735-8612,Mrs. Sylvia R. Lockett,KG-5,Charlotte County Public Schools
Badger Vocational Education Center - North,"8210 Lankford Highway, Oak Hall, VA 23416",757-824-6386, ,,Accomack County Public Schools
Badger Vocational Education Center - South,"26350 Lankford Highway, Onley, VA 23418",757-787-4522, ,,Accomack County Public Schools
Bailey Bridge Middle,"12501 Bailey Bridge Rd, Midlothian, VA 23112-1803",804-739-6200,Kume Goranson,6-8,Chesterfield County Public Schools
Bailey's Elementary School for the Arts and Sciences,"6111 Knollwood Dr, Falls Church, VA 22041",703-575-6800,Ms. Marie M. Lemmon,PK-5,Fairfax County Public Schools
Baker-Butler Elementary,"2740 Proffit Road, Charlottesville, VA 22911",434-974-7777,Mr. David Cushman,PK-5,Albemarle County Public Schools
Baldwin Elementary,"9705 Main St, Manassas, VA 20110-5799",571-377-6100,Dr. Ashley Cramp,KG-4,Manassas Public Schools
Ball's Bluff Elementary,"821 Battlefield Pkwy NE, Leesburg, VA 20176",571-252-2880,Dr. Melinda D. Carper,PK-5,Loudoun County Public Schools
Banneker Elementary,"35231 Snake Hill Rd, Middleburg, VA 20117",540-751-2480,Deborah Lee,PK-5,Loudoun County Public Schools
Barcroft Elementary,"625 S Wakefield St, Arlington, VA 22204",703-228-5838,Ms. Colette Bounet,PK-5,Arlington County Public Schools
Barrett Elementary,"4401 N Henderson Rd, Arlington, VA 22203",703-228-6288,Mr. Dan Redding,PK-5,Arlington County Public Schools
Barron Elementary,"45 Fox Hill Rd, Hampton, VA 23669",757-850-5100,Ms. Andrea L. Riddick,PK-5,Hampton Public Schools
Bassett High,"85 Riverside Dr, Bassett, VA 24055-9307",276-629-1731,Mr. John M. Gibbs,9-12,Henry County Public Schools
Bass-Hoover Elementary,"471 Aylor Road, Stephens City, VA 22655",540-869-4700,Mr. Joseph C. Strong,KG-5,Frederick County Public Schools
Bath County High,"464 Charger Lane, Hot Springs, VA 24445",540-839-2431,Mrs. Sarah Rowe,8-12,Bath County Public Schools
Battlefield Elementary,"11108 Leavells Rd, Fredericksburg, VA 22407",540-786-4532,Mrs. Susan C. Fines,PK-5,Spotsylvania County Public Schools
Battlefield High,"15000 Graduation Dr., Haymarket, VA 20169",571-261-4400,Amy S. Ethridge-Conti,9-12,Prince William County Public Schools
Battlefield Middle,"11120 Leavells Rd, Fredericksburg, VA 22407",540-786-4400,Mrs. Sheila B. Smith,6-8,Spotsylvania County Public Schools
Battlefield Park Elementary,"5501 Mechanicsville Turnpike, Mechanicsville, VA 23111",804-723-3600,Ms. Judy L. Bradley,PK-5,Hanover County Public Schools
Bay View Elementary,"1434 Bay View Blvd, Norfolk, VA 23503",757-531-3030,Dr. Deborah Mansfield,PK-5,Norfolk Public Schools
Bayside Elementary,"5649 Bayside Rd, Virginia Beach, VA 23455-3410",757-648-2080,Catherine Brumm,PK-5,Virginia Beach Public Schools
Bayside High,"4960 Haygood Rd, Virginia Beach, VA 23455-5299",757-648-5200,James D Miller,9-12,Virginia Beach Public Schools
Bayside Middle,"965 Newtown Rd, Virginia Beach, VA 23462",757-648-4400,Ms. Paula Johnson,6-8,Virginia Beach Public Schools
Baywood Elementary,"247 Grammar Lane, Galax, VA 24333",276-236-4868,Mr. Clark Nuckolls,PK-5,Grayson County Public Schools
Beaverdam Elementary,"15485 Beaverdam School Road, Beaverdam, VA 23015",804-449-6373,Mr. Charles E. Joseph,PK-5,Hanover County Public Schools
Bedford County Alternative Education Center,"600 Edmund Street, Bedford, VA 24523",540-586-1270,Mr. Gus Exstrom,,Bedford County Public Schools
Bedford Elementary,"806 Burks Hill Rd, Bedford, VA 24523",540-586-0275,Mrs. Elizabeth A. Winter,2-5,Bedford County Public Schools
Bedford Hills Elementary,"4330 Morningside Dr, Lynchburg, VA 24503-4325",434-384-2221,Faye E. James,PK-5,Lynchburg Public Schools
Bedford Middle,"503 Longwood Ave, Bedford, VA 24523",540-586-7735,Mrs. Rhetta J. Watkins,6-8,Bedford County Public Schools
Bedford Primary,"807 College St, Bedford, VA 24523",540-586-8339,Ms. Lisa Dellis,PK-1,Bedford County Public Schools
Beech Tree Elementary,"3401 Beechtree Ln, Falls Church, VA 22042",703-531-2600,Karim Daugherty,PK-5,Fairfax County Public Schools
Bel Air Elementary,"14151 Ferndale Road, Woodbridge, VA 22193",703-670-4050,Clint Mitchell,PK-5,Prince William County Public Schools
Belfast Elk Garden Elementary,"646 Belfast School Rd., Rosedale, VA 24280",276-880-2283,Ms. Georgia McCoy,KG-5,Russell County Public Schools
Belfield Elementary,"515 Belfield Rd, Emporia, VA 23847-8065",434-634-5566,Ms. Mary Person,5,Greensville County Public Schools
Belle Heth Elementary,"151 George Street, Radford, VA 24141",540-731-3653,Mr. Jack McKinley,3-6,Radford Public Schools
Belle View Elementary,"6701 Fort Hunt Rd, Alexandria, VA 22307",703-660-8300,Mr. Thomas P. Kuntz,PK-6,Fairfax County Public Schools
Bellevue Elementary,"2301 E Grace St, Richmond, VA 23223-7151",804-780-4417,Mrs. Regina T. Farr,PK-5,Richmond Public Schools
Bellwood Elementary,"9536 Dawnshire Rd, Richmond, VA 23237-3455",804-743-3600,Jennifer Rudd,PK-5,Chesterfield County Public Schools
Belmont Elementary,"751 Norwood Ln, Woodbridge, VA 22191",703-494-4945,Ms. Roxana Hudson,PK-5,Prince William County Public Schools
Belmont Ridge Middle,"19045 Upper Belmont Place, Leesburg, VA 20176",571-252-2220,Ryan Hitchman,6-8,Loudoun County Public Schools
Belmont Station Elementary,"20235 Nightwatch St., Ashburn, VA 20147",571-252-2240,Lori Mercer,PK-5,Loudoun County Public Schools
Belvedere Elementary,"6540 Columbia Pike, Falls Church, VA 22041",703-916-6800,Ms. Cecilia Vanderhye,PK-5,Fairfax County Public Schools
Belview Elementary,"3187 Peppers Ferry Rd, Radford, VA 24141",540-633-3200,Ms. Tara Grant,PK-5,Montgomery County Public Schools
Benjamin F. Yancey Elementary,"7625 Porters Road, Esmont, VA 22937-9732",434-974-8060,Craig Dommer,PK-5,Albemarle County Public Schools
Benjamin Franklin Middle-East,"375 Middle School Rd, Rocky Mount, VA 24151",540-483-5105,Brenda Muse,6,Franklin County Public Schools
Benjamin Franklin Middle-West,"225 Middle School Road, Rocky Mount, VA 24151",540-483-5105,Brenda Muse,7-8,Franklin County Public Schools
Benjamin Syms Middle,"170 Fox Hill Rd, Hampton, VA 23669",757-850-5050,Ms. Sharon S. Slater,6-8,Hampton Public Schools
Bennett Elementary,"8800 Old Dominion Dr, Manassas, VA 20110",703-361-8261,Mr. Matthew Ritter,PK-5,Prince William County Public Schools
Bensley Elementary,"6600 Strathmore Rd, Richmond, VA 23237-1129",804-743-3610,Mrs. Bessie Cooper,PK-5,Chesterfield County Public Schools
Berkeley Elementary,"5979 Partlow Road, Spotsylvania, VA 22553",540-582-5141,Mr. K. Michael Brown,PK-5,Spotsylvania County Public Schools
Berkeley Glenn Elementary,"1020 Jefferson Ave, Waynesboro, VA 22980",540-946-4680,Ms. Sharon B. Tooley,KG-5,Waynesboro Public Schools
Berkeley Middle,"1118 Ironbound Rd, Williamsburg, VA 23185",757-229-8051,Karen Swann,6-8,Williamsburg-James City County Public Schools
Berkley/Campostella Early Childhood Education Center,"1530 Cypress St, Norfolk, VA 23523-1902",757-494-3870,Dr. Doreatha White,PK,Norfolk Public Schools
Bessie Weller Elementary,"600 Greenville Ave, Staunton, VA 24401-4873",540-332-3940,Mrs. Linda Mahler,KG-5,Staunton Public Schools
Bethel Elementary,"2991 Hickory Fork Rd, Gloucester, VA 23061",804-693-2360,Ms. Eileen Kersmarki,PK-5,Gloucester County Public Schools
Bethel High,"1067 Big Bethel Rd, Hampton, VA 23666",757-825-4400,Mr. Ralph J. Saunders,9-12,Hampton Public Schools
Bethel Manor Elementary,"1797 First St, Langley A F B, VA 23665",757-867-7439,Dr. Elizabeth B. Poulsen,KG-5,York County Public Schools
Bettie Weaver Elementary,"3600 James River Rd, Midlothian, VA 23113-3718",804-378-2540,Dr. Holly Richard,PK-5,Chesterfield County Public Schools
Beulah Elementary,"4216 Beulah Rd, Richmond, VA 23237-1450",804-743-3620,Ms. Mary Jean Hunt,PK-5,Chesterfield County Public Schools
Beverley Manor Elementary,"116 Cedar Green Rd, Staunton, VA 24401",540-885-8024,Mrs. Dawn P. Young,PK-5,Augusta County Public Schools
Beverley Manor Middle,"58 Cedar Green Rd, Staunton, VA 24401",540-886-5806,Mrs. Forrest O. Burgdorf,6-8,Augusta County Public Schools
Big Island Elementary,"1114 Schooldays Rd, Big Island, VA 24526",434-299-5863,Mr. Wayne Lyle Jr.,PK-6,Bedford County Public Schools
Binford Middle,"1701 Floyd Ave, Richmond, VA 23220-4623",804-780-6231, ,6-8,Richmond Public Schools
Birdneck Elementary,"957 S Birdneck Rd, Virginia Beach, VA 23451-5801",757-648-2120,Mr. Irv Beard,PK-5,Virginia Beach Public Schools
Blacksburg High,"3401 Bruin Lane, Blacksburg, VA 24060",540-951-5706,Mr. Brian Kitts,9-12,Montgomery County Public Schools
Blacksburg Middle,"3109 Price's Fork Rd., Blacksburg, VA 24060",540-951-5800,Mr. John Wheeler,6-8,Montgomery County Public Schools
Blackstone Primary,"615 East Street, Blackstone, VA 23824",434-292-5300,Mrs. Ruth Ann Horn,PK-4,Nottoway County Public Schools
Blackwell Elementary,"1600 Everett St, Richmond, VA 23224-3896",804-780-5078,Mr. Reginald Williams,PK-5,Richmond Public Schools
Blair Middle,"730 Spotswood Ave, Norfolk, VA 23517",757-628-2400,Dr. Jannette Martin,6-8,Norfolk Public Schools
Bland Elementary,"31 Rocket Drive, Bland, VA 24315",276-688-3621,Mrs. Diana Tibbs,KG-7,Bland County Public Schools
Bland High,"31 Rocket Drive, Bland, VA 24315-0014",276-688-3621,Mr. Temple Musser,8-12,Bland County Public Schools
Blandford Academy,"816 E Bank St, Petersburg, VA 23803",804-862-7078,Mr. Giron Wooden,,Petersburg Public Schools
Blue Ridge Elementary,"5135 Ararat Hwy, Ararat, VA 24053",276-251-5271,Mrs. Sandra Clement,KG-7,Patrick County Public Schools
Blue Ridge Middle,"551 East A St, Purcellville, VA 20132",540-751-2520,Brion Bell,6-8,Loudoun County Public Schools
Bluestone High,"6825 Skipwith Road, Skipwith, VA 23968",434-372-5177,Christopher Coleman,9-12,Mecklenburg County Public Schools
Bluestone Middle,"250 Middle School Road, Skipwith, VA 23968",434-372-3266,Mary Shores,6-8,Mecklenburg County Public Schools
Body Camp Elementary,"3420 Body Camp Rd, Bedford, VA 24523",540-297-7391,Mr. Scott Graham,PK-5,Bedford County Public Schools
Bon Air Elementary,"8701 Polk St, Bon Air, VA 23235-3403",804-560-2700,Mr. Bruce C. Tetlow,PK-5,Chesterfield County Public Schools
Bonnie Brae Elementary,"5420 Sideburn Rd, Fairfax, VA 22032",703-321-3900,Ms. Kathy Bruce,PK-6,Fairfax County Public Schools
Bonsack Elementary,"5437 Crumpacker Dr, Roanoke, VA 24019",540-977-5870,Ms. Melissa Jones,PK-5,Roanoke County Public Schools
Booker Elementary,"160 Apollo Dr, Hampton, VA 23669",757-850-5096,Ms. Milicent Y. Rogers,KG-5,Hampton Public Schools
Booker T. Washington Elementary,"204 Walnut Street, Suffolk, VA 23434",757-934-6226,Dr. David Reitz,PK-5,Suffolk Public Schools
BOOKER T. WASHINGTON HIGH SCHOOL,"1111 Park Ave, Norfolk, VA 23504",757-628-3575,Mrs. Adrian Day,9-12,Norfolk Public Schools
Boones Mill Elementary,"265 Taylors Rd, Boones Mill, VA 24065",540-334-4000,Ms. Tomeka Campbell,PK-5,Franklin County Public Schools
Boonsboro Elementary,"1234 Eagle Circle, Lynchburg, VA 24503",434-384-2881,Elizabeth Williams,KG-5,Bedford County Public Schools
Botetourt Elementary,"6361 Main Street, Gloucester, VA 23061-9712",804-693-2151,Dr. Bambi L. Thompson,PK-5,Gloucester County Public Schools
Botetourt Technical Education Center,"253 Poor Farm Rd, Fincastle, VA 24090",540-473-8216,Mr. Joe Harden,,Botetourt County Public Schools
Bowling Green Elementary,"17502 New Baltimore Road, Milford, VA 22514",804-633-6401,Mr. Jason Mack,PK-5,Caroline County Public Schools
Boyce Elementary,"119 W Main St, Boyce, VA 22620",540-955-6115,Mrs. Susan Catlett,KG-5,Clarke County Public Schools
Braddock Elementary,"7825 Heritage Dr, Annandale, VA 22003",703-914-7300,Ms. Cindy Botzin,PK-5,Fairfax County Public Schools
Brandon Middle,"1700 Pope St, Virginia Beach, VA 23464",757-648-4450,Christy McQueeney,6-8,Virginia Beach Public Schools
Breckinridge Elementary,"331 Springwood Rd, Fincastle, VA 24090",540-473-8386,Ms. Debra D. Deitrich,PK-5,Botetourt County Public Schools
Breckinridge Middle,"3901 Williamson Rd NW, Roanoke, VA 24012",540-853-2251,Ms. Tracey Anderson,6-8,Roanoke Public Schools
Bren Mar Park Elementary,"6344 Beryl Rd, Alexandria, VA 22312",703-914-7200,Ms. Anita Lynch,PK-5,Fairfax County Public Schools
Brentsville District High,"12109 Aden Rd, Nokesville, VA 20181",703-594-2161,Ms. Katherine Meints,9-12,Prince William County Public Schools
Briar Woods High,"22525 Belmont Ridge Road, Ashburn, VA 20148",703-957-4400,Mr. Edward A. Starzenski,9-12,Loudoun County Public Schools
Brighton Elementary,"1100 Portsmouth Blvd., Portsmouth, VA 23704-5630",757-393-8870,Mrs. Barbara J Shears-Walker,KG-6,Portsmouth Public Schools
Bristow Run Elementary,"8990 Worthington Dr, Bristow, VA 20136",703-753-7741,Jessica Parker,PK-5,Prince William County Public Schools
Broad Rock Elementary,"4615 Ferguson Ln, Richmond, VA 23234-1999",804-780-5048,Mrs. Carmen E. Rush,PK-5,Richmond Public Schools
Broad Run High,"21670 Ashburn Rd, Ashburn, VA 20147",571-252-2300,Doug Anderson,9-12,Loudoun County Public Schools
Broadus Wood Elementary,"185 Buck Mountain Road, Earlysville, VA 22936-2009",434-973-3865,Kendra King,PK-5,Albemarle County Public Schools
